,City,Latitude,Max Temp,Humidity,Cloudiness,Wind Speed
117,Vardø,70.37,28.4,86,75,25.28
118,Tasiilaq,65.61,30.2,63,90,8.05
119,Port Lincoln,-34.73,70.63,59,52,4.45
120,Nyurba,63.28,11.57,95,92,7.58
121,Ponta Delgada,37.73,62.6,82,20,8.05
122,Charters Towers,-20.1,75.2,61,0,13.91
123,Pisco,-13.7,69.03,68,0,18.34
124,Bethel,41.37,56.93,50,1,4.7
125,Ballina,-28.87,71.53,73,2,8.05
126,Wanxian,30.8,49.3,76,100,7.94
127,Takoradze,4.88,78.69,84,54,8.46
128,Teahupoo,-17.83,84.2,70,40,10.29
129,Xinmin,41.99,21.2,48,0,6.71
130,Jipijapa,-1.33,75.2,73,20,11.41
131,Kirakira,-10.45,83.71,72,14,6.51
132,Forsytheganj,52.63,29.26,98,0,6.44
133,Lagoa,39.05,63.25,87,98,13.51
134,Pangody,65.85,20.03,96,54,13.69
135,North Bend,43.41,58.82,47,1,3.36
136,Hanko,59.83,45.34,89,100,7.0
137,São Filipe,14.9,78.51,69,29,3.38
138,Jamestown,42.1,37.53,74,90,6.93
139,Lebu,-37.62,56.89,77,98,5.08
140,Ankola,14.67,74.79,59,61,5.41
141,Castro,-24.79,60.51,84,11,3.49
142,Oakdale,44.96,38.39,55,1,5.82
143,Torbay,47.67,44.02,93,40,23.04
144,Harper,4.38,78.03,85,85,7.47
145,Charleston,32.78,67.78,68,1,5.82
146,Saint-Pierre,-21.34,69.12,57,0,5.82
147,Cuamba,-14.8,74.52,69,49,3.04
148,Praia da Vitória,38.73,62.35,93,40,9.57
149,Moose Factory,51.26,15.8,66,1,8.05
150,Kahului,20.89,79.11,54,40,25.28
151,Avarua,-21.21,80.6,83,81,6.93
152,Youghal,51.95,43.47,87,40,4.7
153,Solnechnyy,50.72,10.54,77,34,7.63
154,Lakatoro,-16.1,75.2,100,90,3.36
155,Kribi,2.95,78.8,87,91,7.23
156,Yerbogachën,61.28,17.85,96,100,14.65
157,Warrnambool,-38.38,66.99,83,100,5.75
158,Garoowe,8.41,74.48,51,100,8.01
159,Gladstone,-23.85,75.2,69,75,8.05
160,Cortez,37.35,58.86,27,40,9.17
161,Gaziantep,37.06,44.6,87,0,5.41
162,Vila Velha,-20.33,77.65,78,75,11.41
163,Okhotsk,59.38,-0.49,90,75,15.84
164,Vostok,46.49,5.81,97,89,5.66
165,Sitka,57.05,41.0,80,90,10.29
166,São João da Barra,-21.64,75.2,73,75,5.82
167,Salalah,17.02,80.6,39,0,9.17
168,Saint Paul Harbor,57.79,35.6,76,90,11.41
169,Touros,-5.2,80.6,74,20,12.75
170,Tuatapere,-46.13,53.01,72,93,13.0
171,Rurrenabaque,-14.44,95.0,44,20,4.7
172,Hofn,64.25,38.79,72,100,15.43
173,Creel,27.75,68.77,25,28,8.23
174,Pangnirtung,66.15,11.73,91,100,7.85
175,Ukiah,39.15,61.27,38,1,1.36
176,Nouadhibou,20.93,75.2,50,37,4.7
177,Yining,29.04,48.33,86,90,3.98
178,Bandarbeyla,9.49,75.06,61,89,14.92
179,Inírida,3.87,80.46,82,71,1.63
180,Boueni,-12.9,82.4,78,0,9.17
181,Launceston,-41.45,58.05,71,90,2.08
182,Valdivia,-39.81,60.8,63,90,10.29
183,Laas,46.62,30.2,68,5,4.7
184,Barra Patuca,15.8,78.89,86,100,9.22
185,Alakurtti,66.97,27.0,93,100,5.01
186,Souillac,-20.52,69.8,88,20,8.05
187,Cherskiy,68.75,5.56,95,100,2.66
188,Rudnaya Pristan',44.36,26.55,88,100,8.32
189,Anori,-3.77,75.54,96,100,4.79
190,Hanmer Springs,-42.52,47.25,72,97,8.79
191,Araouane,18.9,76.33,19,83,7.49
192,Smithers,54.78,23.0,92,90,6.93
193,Isangel,-19.55,80.6,69,75,5.82
194,Ratnagiri,16.98,77.65,73,70,3.69
195,Eyl,7.98,77.11,63,94,9.66
196,Urengoy,65.97,18.55,97,56,11.59
197,San Miguel de Tucumán,-26.82,93.2,36,0,6.93
198,Dongying,37.46,37.49,85,99,10.11
199,Juneau,58.3,32.47,94,90,6.6
200,Faanui,-16.48,80.11,75,65,9.73
201,Marathon,44.9,35.76,59,1,6.93
202,Yangi Marg`ilon,40.43,23.0,73,0,2.24
203,Pevek,69.7,9.37,97,99,2.28
204,Cockburn Town,21.46,77.0,88,40,6.93
205,Tagusao,9.19,79.29,81,0,1.92
206,Fort Nelson,58.81,1.4,70,20,3.44
207,Chui,-33.7,61.2,68,3,6.69
208,Cheremushskiy,61.27,30.74,96,97,8.81
209,Ostrovnoy,68.05,30.36,93,100,21.12
210,Mahébourg,-20.41,69.8,88,20,8.05
211,Coquimbo,-29.95,66.2,59,0,14.99
212,Nhulunbuy,-12.23,78.8,78,32,10.29
213,Griffith,41.53,42.94,70,1,8.05
214,Zhangjiakou,40.81,17.26,74,13,11.72
215,Cedar City,37.68,50.0,31,1,5.82
216,Saint-Philippe,-21.36,70.29,60,20,5.82
217,Rivne,50.62,33.01,98,0,8.3
218,Kenora,49.82,26.6,73,75,11.41
219,Crib Point,-38.35,67.06,89,95,10.18
220,Taoudenni,22.68,71.4,27,100,9.86
221,Thunder Bay,48.4,29.53,58,40,6.93
222,Aksarka,66.56,23.29,96,97,11.9
223,Diu,20.71,71.24,43,56,8.05
224,Diamantino,-14.41,81.68,59,1,2.44
225,Fort Morgan,40.25,55.4,35,1,3.36
226,Saint Lawrence,36.06,57.2,87,40,4.7
227,Tupã,-21.93,74.88,44,0,2.89
228,Waterloo,43.47,36.41,59,90,9.17
229,Geraldton,-28.77,57.2,87,3,9.17
230,Tual,-5.67,83.43,71,100,3.71
231,Mel'nikovo,56.56,21.27,82,100,4.0
232,Zhanakorgan,43.91,20.7,82,91,6.24
233,Bambanglipuro,-7.95,78.3,84,97,4.81
234,Corn Island,12.17,82.56,75,93,7.63
235,Fukuechō,32.69,65.98,70,70,7.81
236,Surin,14.88,79.0,84,14,4.07
237,Tyup,42.73,22.39,83,0,1.83
238,Esim,4.87,78.44,84,69,6.71
239,Constitución,-35.33,59.72,68,92,14.56
240,Mount Isa,-20.73,82.4,26,0,6.93
241,Samarai,-10.62,80.58,84,100,11.23
242,Nogliki,51.83,21.07,94,87,11.05
243,Trat,12.5,74.61,90,98,3.18
244,Port Macquarie,-31.43,71.6,88,90,5.82
245,Lashio,22.93,53.83,98,0,1.5
246,Moroni,-11.7,78.08,75,2,0.85
247,Bambous Virieux,-20.34,70.84,88,20,8.05
248,Kieta,-6.22,82.36,67,49,2.98
249,Joshīmath,30.57,35.53,51,0,5.41
250,Cap Malheureux,-19.98,72.0,71,14,1.99
251,Yelizovo,53.19,12.2,85,0,2.24
252,Evensk,61.95,4.26,87,96,8.86
253,Petropavlovka,50.61,12.43,85,100,4.41
254,Florianópolis,-27.61,69.8,68,75,8.05
255,Santa Ana,33.75,74.75,53,75,6.93
256,Beringovskiy,63.05,32.52,97,100,17.96
257,Meulaboh,4.14,73.92,96,100,7.25
258,Cairns,-16.92,77.36,69,75,10.29
259,Bundaberg,-24.85,73.4,69,75,9.17
260,Fershampenuaz,53.52,18.72,81,38,1.92
261,Wad Rāwah,15.16,71.2,23,4,13.62
262,Bernal,-5.45,76.71,47,0,19.93
263,Aksu,41.12,27.01,75,93,2.93
264,Roebourne,-20.78,77.14,70,6,1.86
265,Hella,67.2,39.72,80,75,14.99
266,Manbij,36.53,44.6,87,0,7.4
267,Dicabisagan,17.08,78.21,82,94,10.09
268,Lavrentiya,65.58,27.46,93,100,14.29
269,Ligayan,4.65,83.59,74,72,6.93
270,Kiryat Gat,31.61,59.61,100,6,6.76
271,Dwārka,22.24,74.61,45,20,11.18
272,Iskateley,67.68,23.13,97,0,9.53
273,Parrita,9.52,70.66,88,75,3.36
274,Mount Gambier,-37.83,62.6,88,40,8.05
275,Laguna,38.42,60.15,41,1,5.82
276,Upernavik,72.79,20.59,90,100,4.41
277,Bay City,43.59,42.55,52,1,1.77
278,Santa Maria,-29.68,78.8,41,0,11.41
279,Havøysund,71.0,32.0,94,100,33.33
280,Port Elizabeth,-33.92,66.2,77,0,26.4
281,Japura,-0.32,73.85,93,98,3.04
282,Swellendam,-34.02,62.6,77,100,6.93
283,Waipawa,-41.41,56.17,66,97,24.16
284,Rocha,-34.48,61.21,71,3,7.54
285,Gari,59.43,21.87,94,42,9.01
286,Lata,40.16,53.01,54,0,4.7
287,Huarmey,-10.07,68.65,71,95,10.78
288,Zhezkazgan,47.8,10.13,89,39,12.33
289,Karratha,-20.74,77.52,63,2,4.61
290,Narsaq,60.92,15.8,56,22,4.7
291,Matara,5.95,75.76,84,100,2.19
292,Almaznyy,48.04,28.4,100,75,8.95
293,Boundiali,9.52,73.62,37,3,1.07
294,Kuching,1.55,75.11,100,20,2.24
295,Yabēlo,4.88,60.37,76,92,16.75
296,Tessalit,20.2,69.44,22,88,9.55
297,São Félix do Xingu,-6.64,75.2,92,94,1.79
298,Kenai,60.55,34.25,55,20,20.8
299,Kaeo,-35.1,64.6,71,66,9.55
300,Altay,47.87,16.92,75,12,4.72
301,Puerto Triunfo,5.87,82.33,79,16,1.28
302,Bellmead,31.59,77.52,47,75,6.93
303,Ambikāpur,23.12,51.69,47,7,1.59
304,Cabarroguis,16.58,70.77,87,60,1.41
305,Baringo,0.47,70.59,61,58,6.93
306,Murgab,37.5,28.4,58,75,6.93
307,Port Augusta,-32.5,82.4,42,30,4.7
308,Mahibadhoo,3.78,82.45,75,76,7.76
309,Avera,33.19,70.7,49,1,2.62
310,Nyaunglebin,17.95,61.14,78,99,6.53
311,Pleszew,51.9,37.0,88,80,1.99
312,Yar-Sale,66.83,22.28,96,52,12.95
313,Khatanga,71.97,17.06,97,95,15.43
314,Lagan,45.39,38.44,92,100,16.78
315,Vanimo,-2.67,78.49,80,95,4.18
316,Daru,-9.08,80.13,86,99,12.35
317,West Bay,19.37,83.07,79,40,16.11
318,Fereydūnkenār,36.69,51.85,86,100,3.56
319,Marsá Maţrūḩ,31.35,60.8,77,40,5.82
320,Anuradhapura,8.36,72.34,92,74,4.09
321,Huallanca,-9.9,53.29,55,97,6.73
322,Guerrero Negro,27.98,75.43,47,13,15.01
323,Hobyo,5.35,78.85,79,100,8.86
324,Aketi,2.74,70.16,91,100,0.65
325,San Patricio,28.02,78.49,57,40,13.87
326,Fairbanks,64.84,3.63,69,75,3.29
327,Saint Andrews,34.05,68.52,43,40,5.82
328,Chokurdakh,70.63,-0.22,94,100,2.57
329,Gurupá,-1.41,78.49,83,88,3.89
330,Tubualá,9.52,73.27,88,40,10.29
331,Karasjok,69.47,30.2,80,100,39.15
332,Circleville,39.6,45.3,100,90,4.7
333,Durango,24.83,72.54,24,0,4.25
334,Willowmore,-33.29,63.59,30,61,10.49
335,Iqaluit,63.75,-0.4,70,20,8.05
336,Caravelas,-17.71,72.91,90,99,10.0
337,Kandy,7.3,68.11,93,100,3.42
338,Cuenca,-2.88,59.0,87,75,4.7
339,São Gabriel,-30.34,68.95,54,0,8.61
340,Nizhniy Odes,63.64,28.85,96,100,10.22
341,Ocumare del Tuy,10.12,86.0,74,75,6.93
342,Opuwo,-18.06,72.34,33,72,4.36
343,Buala,-8.14,83.26,76,26,7.49
344,Labuhan,-6.88,80.31,79,80,3.69
345,Ewo,-0.87,74.01,87,97,3.44
346,Coahuayana Viejo,18.73,87.8,48,20,5.84
347,Carlos Chagas,-17.7,71.33,87,99,6.55
348,Gawler,-34.6,83.39,39,79,8.01
349,Kavaratti,10.57,81.3,72,73,4.92
350,Qui Nhon,13.77,74.7,88,93,7.31
351,Lompoc,34.64,70.21,32,1,10.29
352,Dingle,11.0,75.4,92,95,7.78
353,Pitimbu,-7.47,78.8,78,20,11.41
354,Kaoma,-14.78,66.9,87,51,4.03
355,Wamba,8.93,76.14,36,74,3.6
356,Aklavik,68.22,-2.2,84,20,10.29
357,San Antonio,29.42,77.95,60,90,5.82
358,Torbat-e Jām,35.24,38.52,76,100,6.82
359,Shimoda,34.67,48.0,80,13,2.82
360,Grindavik,63.84,35.6,93,75,6.93
361,Tuktoyaktuk,69.45,14.0,92,90,12.75
362,Pundaguitan,6.37,82.38,75,89,8.61
363,Seoul,37.57,44.04,87,90,6.02
364,Petropavlovsk-Kamchatskiy,53.05,12.2,85,0,2.24
365,Kaffrine,14.11,86.0,48,0,6.93
366,Denpasar,-8.65,78.8,88,40,2.24
367,Dandong,40.13,29.8,90,100,12.77
368,Bucerías,20.75,83.61,70,5,10.29
369,Ust-Tsilma,65.44,31.73,96,98,7.65
370,Lidköping,58.51,42.57,93,6,16.11
371,Naryan-Mar,67.67,23.25,97,0,9.55
372,Örnsköldsvik,63.29,33.8,100,12,4.7
373,Leer,8.3,79.38,24,0,7.74
374,Lakes Entrance,-37.88,77.18,44,78,3.69
375,Flagstaff,35.2,64.29,29,1,12.75
376,Parkes,-33.13,84.0,43,99,13.24
377,Baie-Comeau,49.22,30.2,63,90,6.93
378,Thompson,55.74,12.2,85,90,8.05
379,Ambovombe,-25.17,68.0,77,16,17.83
380,Werda,-25.27,71.87,73,100,8.08
381,Myitkyina,25.38,64.45,75,76,2.68
382,Darnah,32.77,62.47,57,15,12.08
383,Sayyan,15.17,42.84,61,1,3.51
384,Teya,60.38,26.35,95,99,9.73
385,Mitú,1.2,77.41,95,21,2.66
386,Muscle Shoals,34.74,70.92,46,1,5.82
387,Manokwari,-0.87,80.98,74,66,5.91
388,San Giovanni Rotondo,41.7,44.6,81,40,5.82
389,Cidreira,-30.18,64.89,66,0,9.08
390,Nemuro,43.32,44.08,74,100,16.89
391,Kaitangata,-46.28,51.01,75,99,13.0
392,Koslan,63.46,28.29,96,90,10.04
393,Nanortalik,60.14,26.51,86,9,4.16
394,Bjørnevatn,69.67,26.6,86,100,32.21
395,Saint-Augustin,51.23,28.38,92,95,14.72
396,Yellāpur,14.97,64.63,70,67,3.11
397,Kawalu,-7.38,72.7,90,96,1.1
398,Polovinnoye,54.79,16.39,92,1,6.58
399,Lázaro Cárdenas,17.96,84.16,69,3,9.44
400,Arrondissement de Libourne,44.92,38.32,93,0,3.38
401,Mnogovershinnyy,53.94,16.07,98,100,9.13
402,Kondinskoye,59.65,21.18,96,72,9.73
403,Pringsewu,-5.36,74.61,91,100,0.58
404,George,-33.96,62.6,82,54,6.93
405,Kyra,49.58,7.14,86,0,3.4
406,Ulladulla,-35.35,65.19,82,99,8.05
407,Muros,42.78,48.0,93,0,4.14
408,Megion,61.03,23.0,92,0,6.71
409,Vila Franca do Campo,37.72,60.8,87,20,8.05
410,Tamandaré,-8.76,77.36,78,4,9.46
411,Husavik,66.04,33.8,91,90,12.75
412,Roseburg,43.22,42.8,70,1,3.36
413,Kloulklubed,7.04,77.0,94,75,8.88
414,Sirte,31.21,67.8,56,71,9.91
415,Thinadhoo,0.53,82.06,76,34,10.38
416,Talavera de la Reina,39.96,49.32,50,0,6.44
417,Marsh Harbour,26.54,76.6,78,5,22.15
418,Siniscola,40.57,53.6,54,40,14.99
419,Waingapu,-9.66,81.1,71,52,3.09
420,Tarauacá,-8.16,87.87,57,69,1.92
421,Papayal,-4.08,81.28,42,0,9.1
422,Bonavista,48.65,42.26,93,80,9.17
423,Cauquenes,-35.97,67.21,46,69,10.42
424,Saint Anthony,45.02,38.66,51,1,6.93
425,Chimbote,-9.09,67.28,74,56,9.78
426,Beyneu,45.32,29.26,90,100,12.37
427,Kupang,-10.17,78.8,78,20,4.7
428,Hīrna,9.22,55.17,51,22,2.77
429,Gigmoto,13.78,79.0,82,20,8.63
430,Marawi,8.0,73.0,89,27,5.99
431,College,64.86,3.61,69,75,3.2
432,Khipro,25.83,60.78,30,0,2.91
433,Pingliang,35.54,19.98,86,83,6.11
434,Chervona Sloboda,49.38,30.61,96,40,7.85
435,Jijiga,9.35,57.38,35,25,10.4
436,Beloha,-25.17,64.22,82,14,12.64
437,Kovernino,57.13,26.02,92,99,7.72
438,Bushehr,28.97,77.0,57,75,13.87
439,Codajás,-3.84,76.46,93,99,3.31
440,Egvekinot,66.32,20.34,95,100,14.34
441,Foshan,23.03,76.68,78,75,2.24
442,Qinhuangdao,39.93,27.63,80,86,7.63
443,Ōdachō-ōda,35.18,37.4,93,20,4.7
444,Los Llanos de Aridane,28.66,68.86,35,0,6.93
445,Mookane,-23.69,71.8,67,94,3.09
446,Honningsvåg,70.98,28.4,79,90,26.4
447,Bonthe,7.53,79.16,82,96,6.26
448,Yaoundé,3.87,71.6,100,20,3.62
449,La Paz,-16.5,68.0,14,40,13.87
450,Coyhaique,-45.58,50.0,66,90,6.93
451,Los Alamos,35.89,57.74,35,40,4.7
452,Rūdbār,30.15,57.29,35,96,6.06
453,Flinders,-34.58,69.01,80,89,1.01
454,Ocampo,21.65,66.34,40,0,11.36
455,Ketchikan,55.34,42.8,87,90,51.67
456,Broken Hill,-31.95,86.0,28,25,6.93
457,Sampit,-2.53,74.95,96,99,0.85
458,Nefteyugansk,61.1,28.4,86,0,11.18
459,Imeni Babushkina,59.76,29.07,97,84,8.72
460,Banff,51.18,35.17,55,55,8.05
461,Porto-Novo,6.5,82.4,78,20,6.93
462,Kasongo-Lunda,-6.47,70.99,92,100,0.76
463,Ode,7.79,75.58,53,32,0.85
464,Abéché,13.83,75.74,24,5,11.41
465,Oddur,4.12,72.41,59,81,11.23
466,Half Moon Bay,37.46,61.63,25,1,12.75
467,Hay River,60.82,6.8,84,86,11.41
468,Sri Aman,1.24,73.2,94,60,1.19
469,Ţahţā,26.77,56.26,62,0,6.93
470,Namatanai,-3.67,83.48,64,24,7.81
471,Arlit,18.74,70.09,23,0,6.17
472,Lowestoft,52.48,51.64,87,94,1.01
473,Pathalgaon,22.57,54.9,41,2,5.17
474,Broadstairs,51.36,50.92,78,100,4.0
475,Adiaké,5.29,73.4,94,75,3.36
476,Makakilo City,21.35,81.5,54,40,12.75
477,Sindor,62.86,28.17,96,95,9.4
478,Neiafu,-18.65,78.8,88,75,6.93
479,Saskylakh,71.92,2.03,91,100,11.97
480,St. George's,12.06,80.6,83,40,17.22
481,Ust-Nera,64.57,-19.55,79,57,1.39
482,Padang,-0.95,76.82,80,100,5.46
483,Hokitika,-42.72,56.57,61,0,3.47
484,Diffa,13.32,74.55,28,85,9.91
485,Maunabo,18.01,80.38,100,7,3.0
486,Kathmandu,27.72,50.0,93,40,3.36
487,Am Timan,11.03,77.63,31,86,6.11
488,Meadow Lake,34.8,67.82,25,75,6.93
489,Ankazoabo,-22.28,73.56,63,0,5.12
490,Xining,36.62,12.13,90,100,3.89
491,Sørland,67.67,43.99,82,100,27.6
492,La Grande,45.32,43.72,51,0,3.0
493,Edd,13.93,77.9,58,17,13.13
494,Mogadishu,2.04,79.09,81,82,10.96
495,La Ronge,55.1,17.6,72,100,3.36
496,Oparino,59.85,25.38,98,95,8.37
497,Dauphin,51.15,28.4,93,1,10.29
498,Richards Bay,-28.78,73.58,74,100,10.83
499,Shiyan,32.65,41.58,74,71,3.11
500,Shaunavon,49.65,28.4,79,59,17.22
501,Gogrial,8.53,77.86,27,0,7.05
502,Shingū,33.73,58.24,67,77,3.87
503,Smirnykh,49.75,21.87,89,43,9.57
504,Santa Fe,-31.63,83.88,31,3,4.0
505,Angoche,-16.23,77.68,82,4,5.97
506,Mackay,-21.15,76.87,65,90,13.87
507,Vanavara,60.34,19.24,96,100,13.47
508,Boralday,43.36,10.4,85,40,4.47
509,Xai-Xai,-25.05,71.01,77,0,9.22
510,Luanda,-8.84,78.8,78,75,10.29
511,Rio Grande,-32.03,62.82,68,0,9.66
512,Mehamn,71.04,28.4,79,90,26.4
513,Tabou,4.42,78.06,85,88,7.45
514,Malibu,34.01,75.94,48,100,1.99
515,Beipiao,41.79,14.43,86,50,7.45
516,Cambridge,43.36,37.13,59,90,9.17
517,Bud,39.45,45.21,81,90,6.93
518,Toora-Khem,52.47,14.09,94,100,2.13
519,Rawlins,41.79,39.2,19,1,21.92
520,Omsukchan,62.53,-4.81,88,100,4.45
521,Fenoarivo,-18.93,64.4,93,75,9.17
522,Soe,-9.86,69.66,89,8,3.6
523,Tabat,-2.63,73.31,97,95,1.83
524,Puerto Escondido,15.85,86.0,62,40,5.82
525,Verāval,20.9,72.64,43,61,9.64
526,Grajaú,-5.82,76.71,87,96,3.67
527,Sorong,-0.88,78.96,85,99,5.5
528,Cabo San Lucas,22.89,87.51,42,5,4.7
529,Cabedelo,-6.98,78.8,78,20,11.41
530,Kuju,23.72,57.2,71,61,4.38
531,Vysokogornyy,50.12,6.22,92,100,16.84
532,El Colomo,19.05,86.0,74,5,11.41
533,Corpus Christi,27.8,77.94,57,40,13.87
534,Oruzgan,32.83,38.01,70,39,0.94
535,Laurentides,46.43,32.0,93,34,2.24
536,Bor,56.36,24.4,49,40,11.18
537,Concepción del Oro,24.63,67.57,32,0,2.21
538,Khalkhāl,37.62,37.58,89,100,4.94
539,Gamba,-2.65,77.23,87,100,6.98
540,Turek,52.02,33.57,84,90,4.0
541,Brae,60.4,46.4,75,59,43.62
542,Bafoussam,5.47,61.54,79,65,2.71
543,Kabwe,-14.45,71.28,63,17,4.79
544,Gorontalo,0.54,75.9,86,98,3.18
545,Livingston,55.9,42.71,87,20,14.99
546,Khovd,48.01,10.98,84,2,1.07
547,Salacgrīva,57.75,33.01,95,100,8.01
548,Chul'man,56.85,-9.0,89,98,1.43
549,Ürümqi,43.8,15.8,72,13,2.24
550,Santa Cruz del Sur,20.71,79.25,82,12,15.88
551,Alekseyevsk,57.84,19.15,94,100,11.74
552,Novomikhaylovskiy,44.26,45.93,78,61,3.58
